date,artist,album,year
"Wednesday Apr 1, 2026 6:00 PM","Steely Dan","Aja",1977
"Wednesday Apr 1, 2026 8:00 PM","Sufjan Stevens","Javelin",2023
"Thursday Apr 2, 2026 5:00 PM","Herbie Hancock","Headhunters",1973
"Thursday Apr 2, 2026 6:00 PM","Can","Tago Mago",1971
"Thursday Apr 2, 2026 7:30 PM","Thundercat","Distracted",2026
"Thursday Apr 2, 2026 9:00 PM","Massive Attack","100th Window",2003
"Friday Apr 3, 2026 5:00 PM","Wayne Shorter","JuJu",1964
"Friday Apr 3, 2026 6:00 PM","Tool","Fear Inoculum",2019
"Friday Apr 3, 2026 7:30 PM","The Weeknd","House of Balloons",2011
"Friday Apr 3, 2026 9:00 PM","Frank Ocean","Channel Orange",2012
"Saturday Apr 4, 2026 12:30 PM","The Beatles","Rubber Soul",1965
"Saturday Apr 4, 2026 2:00 PM","Smashing Pumpkins","Siamese Dream",1993
"Saturday Apr 4, 2026 3:30 PM","Nine Inch Nails","Tron Ares",2025
"Saturday Apr 4, 2026 5:00 PM","Toshiki Kadomatsu","After 5 Clash",1984
"Saturday Apr 4, 2026 6:00 PM","Khruangbin and Leon Bridges","Texas Sun/Texas Moon",2020
"Saturday Apr 4, 2026 7:30 PM","Olivia Dean","The Art of Loving",2023
"Saturday Apr 4, 2026 9:00 PM","Tame Impala","Currents",2015
"Tuesday Apr 7, 2026 6:00 PM","Guns N' Roses","Appetite For Destruction",1987
