date,artist,album,year
"Thursday May 7, 2026 5:00 PM","Herbie Hancock","Maiden Voyage",1965
"Thursday May 7, 2026 6:00 PM","Dolly Parton","Coat of Many Colors",1971
"Thursday May 7, 2026 7:30 PM","Noah Kahan","The Great Divide",2024
"Thursday May 7, 2026 9:00 PM","Depeche Mode","Music For The Masses",1987
"Friday May 8, 2026 5:00 PM","Various Artists","Chicago Guitar Killers",1994
"Friday May 8, 2026 6:00 PM","Pearl Jam","Vitalogy",1994
"Friday May 8, 2026 7:30 PM","Tatsuro Yamashita","Ride on Time",1980
"Friday May 8, 2026 9:00 PM","Fleetwood Mac","Rumours",1977
"Saturday May 9, 2026 12:30 PM","Jay-Z","The Black Album",2003
"Saturday May 9, 2026 2:00 PM","Danger Mouse","The Grey Album",2004
"Saturday May 9, 2026 3:30 PM","The Beatles","The White Album",1968
"Saturday May 9, 2026 5:00 PM","RÜFÜS DU SOL","Live From Joshua Tree",2019
"Saturday May 9, 2026 6:00 PM","U2","The Joshua Tree",1987
"Tuesday May 12, 2026 8:00 PM","Incubus","Morning View",2001
"Thursday May 14, 2026 5:00 PM","Frank Sinatra","Songs For Swingin' Lovers!",1956
"Thursday May 14, 2026 6:00 PM","Wolfmother","Wolfmother",2005
"Thursday May 14, 2026 7:30 PM","Tyler, The Creator","Chromakopia",2024
"Thursday May 14, 2026 9:00 PM","Nine Inch Nails","The Downward Spiral",1994
"Friday May 15, 2026 5:00 PM","Miles Davis","Kind of Blue",1959
"Friday May 15, 2026 6:00 PM","Danger Mouse, Daniele Luppi, Norah Jones and Jack White","Rome",2011
