date,artist,album,year
"Tuesday Nov 4, 2025","Masayoshi Takanaka","Seychelles",1979
"Wednesday Nov 5, 2025","Sigur Rós","Ágætis Byrjun",1999
"Wednesday Nov 5, 2025","Pink Floyd","Wish You Were Here",1975
"Wednesday Nov 5, 2025","Pink Floyd","Dark Side of the Moon",1973
"Thursday Nov 6, 2025","Carole King","Tapestry",1971
"Thursday Nov 6, 2025","The Replacements","Let It Be",1984
"Thursday Nov 6, 2025","Mary J Blige","My Life",1994
"Friday Nov 7, 2025","Wes Montgomery","Bumpin'",1965
"Friday Nov 7, 2025","Boards of Canada","Music Has The Right To Children",1998
"Friday Nov 7, 2025","Massive Attack","Mezzanine",1998
"Friday Nov 7, 2025","LCD Soundsystem","Sound of Silver",2007
"Saturday Nov 8, 2025","Steely Dan","Gaucho",1980
"Saturday Nov 8, 2025","Nine Inch Nails","Tron Ares (OST)",2025
"Saturday Nov 8, 2025","David Bowie","Station to Station",1976
"Saturday Nov 8, 2025","Childish Gambino","Awaken, My Love",2016
"Tuesday Nov 11, 2025","Herbie Hancock","Maiden Voyage",1965
"Tuesday Nov 11, 2025","Dire Straits","Dire Straits",1978
"Tuesday Nov 11, 2025","Cheap Trick","Dream Police",1979
"Wednesday Nov 12, 2025","Gustav Mahler","Symphony No. 6",1906
"Wednesday Nov 12, 2025","Jeff Tweedy","Twilight Override",2025
"Tuesday Nov 13, 2025","Buena Vista Social Club","Buena Vista Social Club",1997
"Friday Nov 14, 2025","SZA","Ctrl",2017
"Saturday Nov 15, 2025","Star Wars","Original Motion Picture Soundtrack",1977
"Tuesday Nov 18, 2025","McCoy Tyner","The Real McCoy",1967
"Wednesday Nov 19, 2025","Frank Zappa","Hot Rats",1969
"Thursday Nov 20, 2025","Lou Reed","Transformer",1972
"Friday Nov 21, 2025","Sleep Token","Even In Arcadia",2025
"Tuesday Nov 25, 2025","Screaming Trees","Dust",1996
"Wednesday Nov 26, 2025","Joni Mitchell","Blue",1971
"Friday Nov 28, 2025","Tom Petty","Wildflowers",1994
"Saturday Nov 29, 2025","Sigur Rós","Ágætis Byrjun",1999
