date,artist,album,year
"Saturday Oct 4, 2025 9:00 PM","LCD Soundsystem","Sound of Silver",2007
"Tuesday Oct 7, 2025 6:00 PM","Masayoshi Takanaka","Seychelles",1976
"Tuesday Oct 7, 2025 8:00 PM","Tool","Lateralus",2001
"Wednesday Oct 8, 2025 6:00 PM","Flaming Lips","Yoshimi Battles the Pink Robots",2002
"Wednesday Oct 8, 2025 7:30 PM","Pink Floyd","Wish You Were Here",1975
"Wednesday Oct 8, 2025 9:00 PM","Pink Floyd","Dark Side of the Moon",1973
"Thursday Oct 9, 2025 5:00 PM","Dire Straits","Brothers In Arms",1985
"Thursday Oct 9, 2025 6:00 PM","Funkadelic","Maggot Brain",1971
"Thursday Oct 9, 2025 7:30 PM","Kendrick Lamar","DAMN",2017
"Thursday Oct 9, 2025 9:00 PM","David Bowie","Let's Dance",1983
"Friday Oct 10, 2025 5:00 PM","Nirvana","Nevermind",1991
"Friday Oct 10, 2025 6:00 PM","Björk","Debut",1993
"Friday Oct 10, 2025 7:30 PM","Judas Priest","Unleashed in the East",1979
"Friday Oct 10, 2025 9:00 PM","Arctic Monkeys","AM",2013
"Saturday Oct 11, 2025 2:00 PM","The Band","Music From the Big Pink",1968
"Saturday Oct 11, 2025 3:30 PM","War on Drugs","Lost In The Dream",2014
"Saturday Oct 11, 2025 5:00 PM","Jonny Greenwood","Phantom Thread - Original Motion Picture Soundtrack",2017
"Saturday Oct 11, 2025 6:00 PM","Sade","Love Deluxe",1992
"Saturday Oct 11, 2025 7:30 PM","SZA","Ctrl",2017
"Saturday Oct 11, 2025 9:00 PM","Lana Del Rey","Norman Fucking Rockwell",2019
"Tuesday Oct 14, 2025 6:00 PM","Johnny Cash","American II: Unchained",1996
"Wednesday Oct 15, 2025 6:00 PM","Vikingur Ólafsson","J.S. Bach - Goldberg Variations",2023
"Thursday Oct 16, 2025 5:00 PM","Herbie Hancock","Headhunters",1973
"Friday Oct 17, 2025 5:00 PM","Frank Ocean","Channel Orange",2012
"Saturday Oct 18, 2025 2:00 PM","Wilco","AM",1995
"Tuesday Oct 21, 2025 6:00 PM","Billie Eilish","When We All Fall Asleep, Where Do We Go?",2019
"Wednesday Oct 22, 2025 6:00 PM","Susumu Yokota","Magic Thread",1998
"Thursday Oct 23, 2025 5:00 PM","Kendrick Lamar","To Pimp A Butterfly",2015
"Friday Oct 24, 2025 5:00 PM","Julian Priester","Keep Swingin'",1976
"Saturday Oct 25, 2025 12:30 PM","Tracy Chapman","Tracy Chapman",1988
"Tuesday Oct 28, 2025 6:00 PM","Elton John","Honky Château",1972
"Wednesday Oct 29, 2025 6:00 PM","Tom Petty","Wildflowers",1994
"Thursday Oct 30, 2025 5:00 PM","Nina Simone","Silk and Soul",1967
"Friday Oct 31, 2025 5:00 PM","Claudio Gizzi","Andy Warhol's Dracula",1974
